# AmiraMesh 3D ASCII 2.0
# CreationDate: Mon Apr 21 13:33:26 2008


define Markers 439

Parameters {
    NumSets 2,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Coordinates2 } @2

# Data section follows
@1
  -68.8663 3.04725 -495.1
  -66.8175 23.7447 -504.1
  -67.6785 -21.2093 -556.3
  -72.0069 -18.6785 -540.101
  -73.8049 -9.13906 -529.555
  -73.4687 3.9118 -520.881
  -70.8815 14.5013 -511.852
  -18.0366 -10.7963 -453.403
  -0.593765 10.4305 -454.507
  -1.69354 22.4671 -457.529
  -1.3712 33.4484 -462.7
  -1.24481 42.1961 -469.247
  -1.24871 51.4187 -479.347
  -1.26429 54.0834 -490.732
  -2.51237 59.3493 -502.4
  -4.4652 59.5077 -516.1
  10.8228 10.4587 -455.722
  9.90984 25.3761 -460.121
  10.0948 35.598 -466.3
  10.2694 44.3667 -474.103
  9.95902 52.1446 -487.299
  9.19427 56.8013 -496.9
  9.57635 59.5053 -511.667
  8.48337 58.5596 -523.352
  24.7719 17.2306 -464.327
  31.1526 24.0299 -474.301
  37.5587 29.3253 -486.634
  41.1423 35.3584 -497.913
  35.6117 47.8949 -505.15
  26.8098 54.4875 -513.4
  18.8027 56.6886 -520.258
  19.4327 56.3999 -504.1
  33.1188 42.617 -492.116
  27.8964 36.3027 -480.1
  20.8549 29.3954 -468.811
  18.6645 43.0805 -477.749
  27.6089 51.6105 -499.302
  20.7657 49.8896 -489.25
  -19.0252 9.3667 -454.71
  -18.1772 22.2941 -458.036
  -18.7522 33.0719 -463.024
  -19.0252 41.2724 -469.45
  -20.4193 51.143 -480.096
  -18.9664 54.0707 -490.572
  -19.441 58.776 -503.582
  -17.2466 59.0701 -516.032
  -29.8684 8.65319 -456.751
  -29.9233 24.3908 -461.376
  -29.2693 33.9358 -466.938
  -30.3092 43.5034 -475.3
  -30.7642 50.1664 -487.9
  -30.7962 56.6231 -497.806
  -30.9635 57.5701 -512.222
  -29.357 56.3803 -522.424
  -43.4691 15.505 -465.701
  -50.5496 21.0107 -475.978
  -56.0189 26.1107 -487.3
  -60.4938 33.2216 -499.298
  -56.4449 44.7692 -505.903
  -47.0532 52.2213 -513.7
  -38.536 54.8052 -520.901
  -39.8495 55.3118 -504.1
  -52.8962 40.9968 -494.49
  -46.9774 34.3234 -481.6
  -40.8873 26.866 -469.9
  -38.9585 40.4844 -479.05
  -46.974 49.16 -499.788
  -40.9432 46.8587 -489.7
  46.1312 -8.7284 -566.509
  51.7688 -6.2853 -552.1
  55.0077 2.29603 -538.269
  54.2908 13.4222 -534.638
  48.5613 14.2561 -554.505
  43.1243 13.0051 -570.5
  42.1735 2.3911 -574.573
  47.4192 3.91363 -562.84
  52.1328 4.9987 -549.7
  -64.3998 -10.6533 -568.9
  -70.5035 -10.4351 -552.99
  -73.8072 -0.825304 -540.1
  -73.7987 10.8053 -535.323
  -68.4883 11.7071 -555.812
  -61.796 10.4407 -571.3
  -60.4937 0.524157 -576.103
  -66.0773 1.64184 -564.1
  -71.0892 1.17332 -550.857
  1.36178 -7.57273 -627.526
  4.05084 -16.0805 -627.025
  10.3295 -20.013 -628.635
  19.2969 -19.9511 -627.688
  27.9954 -18.3236 -625.867
  34.2191 -13.1073 -621.756
  37.8415 -6.81951 -618.281
  37.9079 2.01491 -619.743
  37.6715 6.20794 -623.31
